,lat,rus
0,Abramis brama,Лещ
1,Acipenseridae,Осетровые
2,Anguilla anguilla,Речной угорь
3,Aspius aspius,Жерех
4,Barbus barbus,Обыкновенный усач
5,Blicca bjoerkna,Густера
6,Carassius carassius,Золотой карась
7,Carassius gibelio,Серебряный карась
8,Ctenopharyngodon idella,Белый амур
9,Cyprinus carpio,Сазан
10,Esox lucius,Щука
11,Gasterosteus aculeatus,Трёхиглая колюшка
12,Gobio gobio,Обыкновенный пескарь
13,Gymnocephalus cernuus,Обыкновенный ёрш
14,Lepomis gibbosus,Обыкновенная солнечная рыба
15,Leuciscus cephalus,Голавль
16,Leuciscus idus,Язь
17,Leuciscus leuciscus,Елец
18,Neogobius fluviatilis,Бычок-песочник
19,Neogobius kessleri,Бычок-головач
20,Neogobius melanostomus,Бычок-кругляк
21,Perca fluviatilis,Речной окунь
22,Rhodeus amarus,Европейский горчак
23,Rutilus rutilus,Обыкновенная плотва
24,Salmo trutta subsp. fario,Ручьевая форель
25,Sander lucioperca,Обыкновенный судак
26,Scardinius erythrophthalmus,Краснопёрка
27,Silurus glanis,Обыкновенный сом
28,Tinca tinca,Линь
29,Vimba vimba,Vimba vimba
